en,fr,it,de,es,ko,kana
[VAR PKNICK(0000)] surrounded itself with its Z-Power!,[VAR PKNICK(0000)] déploie sa Force Z comme une aura !,"Il Potere Z circonda [VAR PKNICK(0000)] come un'aura!",[VAR PKNICK(0000)] hüllt sich in Z-Kraft!,¡[VAR PKNICK(0000)] se envuelve en un halo de Poder Z!,[VAR PKNICK(0000)]이 오라처럼 Z 포스를 발산합니다!,[VAR PKNICK(0000)]がオーラのようにZフォースを展開！
The wild [VAR PKNICK(0000)] surrounded itself with its Z-Power!,Le [VAR PKNICK(0000)] sauvage déploie sa Force Z comme une aura !,"Il Potere Z circonda il [VAR PKNICK(0000)] selvatico come un'aura!",Das wilde [VAR PKNICK(0000)] hüllt sich in Z-Kraft!,¡El [VAR PKNICK(0000)] salvaje se envuelve en un halo de Poder Z!,야생의 [VAR PKNICK(0000)]이 오라처럼 Z 포스를 발산합니다!,野生の[VAR PKNICK(0000)]がオーラのようにZフォースを展開！
The opposing [VAR PKNICK(0000)] surrounded itself with its Z-Power!,Le [VAR PKNICK(0000)] ennemi déploie sa Force Z comme une aura !,"Il Potere Z circonda il [VAR PKNICK(0000)] avversario come un'aura!",Der gegnerische [VAR PKNICK(0000)] hüllt sich in Z-Kraft!,¡El [VAR PKNICK(0000)] rival se envuelve en un halo de Poder Z!,상대의 [VAR PKNICK(0000)]이 오라처럼 Z 포스를 발산합니다!,相手の[VAR PKNICK(0000)]がオーラのようにZフォースを展開！
[VAR PKNICK(0000)] unleashes its full-force Z-Move!,[VAR PKNICK(0000)] déploie toute la puissance de sa Force Z !,[VAR PKNICK(0000)] usa una mossa Z sprigionando tutta la sua potenza!,[VAR PKNICK(0000)] nimmt all seine Kraft zusammen und setzt eine Z-Attacke ein!,¡[VAR PKNICK(0000)] despliega toda su fuerza para ejecutar un movimiento Z!,[VAR PKNICK(0000)]이 Z 포스의 모든 힘을 발산합니다!,[VAR PKNICK(0000)]がZフォースを全開にする！
The wild [VAR PKNICK(0000)] unleashes its full-force Z-Move!,Le [VAR PKNICK(0000)] sauvage déploie toute la puissance de sa Force Z !,Il [VAR PKNICK(0000)] selvatico usa una mossa Z sprigionando tutta la sua potenza!,Das wilde [VAR PKNICK(0000)] nimmt all seine Kraft zusammen und setzt eine Z-Attacke ein!,¡El [VAR PKNICK(0000)] salvaje despliega toda su fuerza para ejecutar un movimiento Z!,야생의 [VAR PKNICK(0000)]이 Z 포스의 모든 힘을 발산합니다!,野生の[VAR PKNICK(0000)]がZフォースを全開にする！
The opposing [VAR PKNICK(0000)] unleashes its full-force Z-Move!,Le [VAR PKNICK(0000)] ennemi déploie toute la puissance de sa Force Z !,[VAR PKNICK(0000)] usa una mossa Z sprigionando tutta la sua potenza!,Der gegnerische [VAR PKNICK(0000)] nimmt all seine Kraft zusammen und setzt eine Z-Attacke ein!,¡El [VAR PKNICK(0000)] rival despliega toda su fuerza para ejecutar un movimiento Z!,상대의 [VAR PKNICK(0000)]이 Z 포스의 모든 힘을 발산합니다!,相手の[VAR PKNICK(0000)]がZフォースを全開にする！
Z-[VAR MOVE(0000)],[VAR MOVE(0000)] Z,[VAR MOVE(0000)] Z,Z-[VAR MOVE(0000)],[VAR MOVE(0000)] Z,Z[VAR MOVE(0000)],Z[VAR MOVE(0000)]
Its Dynamax Level increased to [VAR NUM3(0000)]!,Son niveau Dynamax est passé à [VAR NUM3(0000)]!,Il livello Dynamax è aumentato a [VAR NUM3(0000)]!,Sein Dynamax-Level ist auf [VAR NUM3(0000)] gestiegen!,¡Su nivel de Dinamax ha aumentado a [VAR NUM3(0000)]!,다이맥스 레벨이 [VAR NUM3(0000)]로 증가했습니다!,ダイマックスレベルが[VAR NUM3(0000)]に上がった！
[VAR PKNICK(0000)] took some lingering damage.,[VAR PKNICK(0000)] encaisse des dégâts résiduels.,[VAR PKNICK(0000)] ha subito danni persistenti.,[VAR PKNICK(0000)] hat anhaltenden Schaden erlitten.,[VAR PKNICK(0000)] ha recibido algo de daño persistente.,[VAR PKNICK(0000)]이 지속 피해를 입었습니다.,[VAR PKNICK(0000)]が持続ダメージを受けました。
The wild [VAR PKNICK(0000)] took some lingering damage.,Le [VAR PKNICK(0000)] sauvage encaisse des dégâts résiduels.,Il [VAR PKNICK(0000)] selvatico ha subito danni persistenti.,Das wilde [VAR PKNICK(0000)] hat anhaltenden Schaden erlitten.,El [VAR PKNICK(0000)] salvaje ha recibido algo de daño persistente.,야생의 [VAR PKNICK(0000)]이 지속 피해를 입었습니다.,野生の[VAR PKNICK(0000)]が持続ダメージを受けました。
